mutual information,main class score,main class,word
0.1739293957230597,0.5125899412547702,ورزش,تیم
0.09983290846509524,0.27940208415993845,ورزش,فوتبال
0.09481773161931586,0.25857752845840576,سیاسی,سیاسی
0.08851735984220126,0.23294467669644442,اقتصاد,اقتصادی
0.08585769184162104,0.2652457402471307,اجتماعی,اجتماعی
0.0765821311525373,0.2090918138886383,ورزش,بازی
0.07609799958198733,0.21788331287205187,ورزش,جام
0.07038712407793347,0.19542589855526346,ورزش,قهرمانی
0.05625309766235497,0.15566558060754854,ورزش,بازیکن
0.05406989567687208,0.12395295675593558,سیاسی,اسلامی
0.05102931213030119,0.14094332115775804,ورزش,بازیکنان
0.04851713779471793,0.13533982999148722,ورزش,فدراسیون
0.04804083400184911,0.13306248745718063,ورزش,مسابقات
0.04602239136172633,0.12509748665731002,اقتصاد,دلار
0.044828738372999916,0.1146950017800481,ورزش,مسابقه
0.04433833134719345,0.10576872908881274,سیاسی,مجلس
0.043144140541692654,0.1140206966241917,اقتصاد,قیمت
0.04191037040463229,0.10467356811710125,سیاسی,شورای
0.04190099740885163,0.11348313476413881,اقتصاد,گذاری
0.041571139787276105,0.11273373454338495,اقتصاد,سرمایه
0.04133874201098145,0.11821141636192169,ورزش,آسیا
0.04133775934538303,0.11328410621478852,ورزش,باشگاههای
0.04129832860435805,0.10874882416655066,اقتصاد,صنایع
0.04119042885524863,0.10095570319572097,اقتصاد,تولید
0.040681207542609454,0.10132497005356525,اقتصاد,بازار
0.04003239740792261,0.1093156365479364,ورزش,بازیهای
0.03890865609357432,0.08667422023712502,سیاسی,مردم
0.03587912511810959,0.10661024926079699,ورزش,رقابت
0.03442367252143715,0.09401746819299886,ورزش,مربی
0.03388304057781337,0.08948333828987255,اقتصاد,میلیارد
0.033192909375679716,0.09140436269191528,ورزش,حریف
0.032445670507734004,0.09022367083066321,ورزش,باشگاه
0.032436499077114954,0.08486700949697017,اقتصاد,ارزی
0.0322709583831647,0.06452760013579714,سیاسی,جمهوری
0.031236520327746063,0.08209988498240162,ورزش,قهرمان
0.030738614634247714,0.0747383725141105,اجتماعی,دادگاه
0.03072415030996002,0.07829396828217396,اقتصاد,ریال
0.030708072351747433,0.08684506234446933,ورزش,شکست
0.030548224710436396,0.07932599782826318,اقتصاد,صنعتی
0.02993027907296616,0.07816973133602058,سیاسی,آیت
0.029689473499179945,0.08241936187863919,سیاسی,انتخابات
0.029312051119077386,0.07748257969793283,سیاسی,معظم
0.02921871431587212,0.08091941638521742,اقتصاد,نفت
0.028961732239958442,0.0769002487464576,اقتصاد,صادرات
0.028940766316305315,0.06597438813104757,سیاسی,انقلاب
0.02800179068238501,0.07689579408224381,ورزش,پرسپولیس
0.027874317109269527,0.07184396003665523,اقتصاد,تولیدی
0.027648693182833993,0.07688244381572704,ورزش,تیمی
0.027629345896869113,0.06422398331339843,اقتصاد,توسعه
0.027543844554404475,0.06869419243815467,اقتصاد,درصد
0.027344347194927756,0.0686070970189229,اقتصاد,افزایش
0.02733643982054397,0.06619623782152079,سیاسی,آقای
0.027103626795304918,0.0749447910791459,ورزش,ورزشگاه
0.026586003870422217,0.06983157078885316,ورزش,مربیان
0.026533765889595204,0.07292290905469316,ورزش,گروه
0.02632711058154293,0.06868019732728065,ورزش,گل
0.025833696023883752,0.06810426865305044,اقتصاد,پتروشیمی
0.025760020969188883,0.06777347239909731,اقتصاد,ارز
0.02568898724836024,0.06827711813156702,سیاسی,خاتمی
0.02566054348826592,0.05270534594511167,سیاسی,نظام
0.02508489848600357,0.06595997577004885,اقتصاد,سهام
0.024531190940322495,0.06782220285348677,ورزش,مصاف
0.024266635784058417,0.06689408370211908,ورزش,المپیک
0.02410219056563989,0.050630222060771515,ورزش,وزیر
0.02360413588299388,0.06442373217254699,ورزش,لیگ
0.023310594506128865,0.06426063231123008,ورزش,دولت
0.022917983509264255,0.06276435352688606,ورزش,والیبال
0.022777000003181634,0.05616330549477386,اقتصاد,فروش
0.022724771833851697,0.0622468210712316,ورزش,سرمربی
0.022670667888276003,0.06337022466978964,اجتماعی,روزنامه
0.02240336141540083,0.06014280471296984,اقتصاد,صنعت
0.022292950278014347,0.05470359563379622,سیاسی,اسلام
0.022086062152447142,0.049388785046482524,ورزش,دیدار
0.021827351170478203,0.0561221994355356,اقتصاد,میلیون
0.021791996323812884,0.03977735756802086,ورزش,جامعه
0.021790386623789074,0.053245050151004135,سیاسی,ایرنا
0.021724996843958226,0.051557958897497716,ورزش,تاکید
0.021407367994270305,0.05366264686063043,سیاسی,الله
0.021337843199467202,0.05556518478856015,سیاسی,رهبری
0.02101570884371241,0.054928121006289285,اقتصاد,اقتصاد
0.020999477504444013,0.043112767926660224,اجتماعی,مطبوعات
0.02085125135557086,0.0472069771131821,سیاسی,الاسلام
0.020634836100860962,0.056789246791118075,ورزش,حریفان
0.020436075171054474,0.0540492340599832,اقتصاد,هزار
0.020410482005195945,0.05633459571493621,ورزش,مهاجم
0.020320007306986583,0.05521146841511962,سیاسی,رئیس
0.02024690540927835,0.05352823041300199,اقتصاد,پارس
0.020156920420516474,0.044174442922092494,اقتصاد,میزان
0.02010654452384452,0.05694577886473015,ورزش,گزارش
0.02000735479625751,0.04617176696929319,سیاسی,حجت
0.01998052588288793,0.05596915357835964,ورزش,دروازه
0.019969735208118934,0.05351221625323839,سیاسی,نگهبان
0.019878153271555808,0.05604498689001556,ورزش,میزبان
0.019686372132896434,0.05073569395490872,ورزش,ورزش
0.01959982558239355,0.05237554487531188,اجتماعی,خانواده
0.019311449681272186,0.050122985505957784,ورزش,پیروزی
0.019142055894595174,0.04933123231475027,اقتصاد,تعدادسهام
0.019130413495403897,0.05017835938124858,اقتصاد,معامله
0.01903790633223245,0.045467802157255696,ورزش,قانون
